id,pais,nivel_educacional,anos_exp_pro,tipo_dev,linguagens,linguagens_desejadas,bancos,plataformas,modelo_trabalho,tamanho_empresa,satisfacao,salario_anual_usd,faixa_etaria,tipo_emprego,cargo_ic_ou_gestao,grupo_exp,linguagem_principal,satisfacao_label,satisfacao_score,faixa_salarial
27,Italy,Graduação,17.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;Python;Scala;SQL,C#;JavaScript;Python;Scala;SQL,Microsoft SQL Server;PostgreSQL;Presto,Amazon Web Services (AWS),Remoto,,7.0,,35-44 years old,"Employed, full-time",Individual contributor,10–19 anos,C#,7.0,,
28,Ukraine,Pós-graduação/Doutorado,6.0,Cloud infrastructure engineer,Bash/Shell (all shells);Lua;TypeScript,Bash/Shell (all shells);Lua;Rust;TypeScript;Zig,Dynamodb;PostgreSQL,Amazon Web Services (AWS),Remoto,,7.0,,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Individual contributor,5–9 anos,Bash/Shell (all shells),7.0,,
29,United Kingdom of Great Britain and Northern Ireland,Ensino Médio,12.0,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,MariaDB;Microsoft SQL Server;MySQL,Amazon Web Services (AWS);Hetzner;Microsoft Azure;VMware,Remoto,,,,25-34 years old,"Independent contractor, freelancer, or self-employed",,10–19 anos,Bash/Shell (all shells),,,
30,Philippines,Graduação,6.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript,Microsoft SQL Server;MongoDB;SQLite,Microsoft Azure,Remoto,,,,25-34 years old,"Employed, full-time",,5–9 anos,C#,,,
32,United States of America,Graduação,7.0,Other (please specify):,Bash/Shell (all shells);Go;HTML/CSS;Python;Scala;SQL,Bash/Shell (all shells);Go;Python;SQL,Databricks SQL;DuckDB;PostgreSQL,Amazon Web Services (AWS);Databricks,Híbrido,,7.0,,25-34 years old,"Employed, full-time",Individual contributor,5–9 anos,Bash/Shell (all shells),7.0,,
33,Brazil,Técnico/Associado,7.0,"Developer, back-end",Bash/Shell (all shells);JavaScript;PHP;SQL;TypeScript,Bash/Shell (all shells);C#;JavaScript;PHP;Python;SQL;TypeScript,Elasticsearch;MySQL;Redis,Amazon Web Services (AWS),Presencial,,,,25-34 years old,"Employed, full-time",,5–9 anos,Bash/Shell (all shells),,,
34,Japan,Graduação,16.0,"Developer, back-end",Bash/Shell (all shells);Python,Bash/Shell (all shells);Go;Python;TypeScript,Cassandra;Elasticsearch,,Híbrido,,6.0,,35-44 years old,"Employed, full-time",People manager,10–19 anos,Bash/Shell (all shells),6.0,,
36,United States of America,Faculdade incompleta,6.0,"Developer, full-stack",Bash/Shell (all shells);C#;C++;HTML/CSS;PowerShell;Python;SQL;VBA,Bash/Shell (all shells);C#;HTML/CSS;Python;SQL,Microsoft SQL Server,Microsoft Azure;VMware,Remoto,,7.0,,25-34 years old,"Employed, full-time",Individual contributor,5–9 anos,Bash/Shell (all shells),7.0,,
37,Austria,Ensino Médio,8.0,Student,Bash/Shell (all shells);C#;Java;OCaml;SQL,Bash/Shell (all shells);Java;SQL,H2;MySQL,Google Cloud;Oracle Cloud Infrastructure (OCI),Remoto,,,,18-24 years old,"Independent contractor, freelancer, or self-employed",,5–9 anos,Bash/Shell (all shells),,,
38,"Iran, Islamic Republic of...",Pós-graduação/Doutorado,6.0,Data scientist or machine learning specialist,Python,Python,Databricks SQL;Dynamodb;Elasticsearch;MongoDB;MySQL;Neo4J;PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud;Hetzner;Microsoft Azure;PythonAnywhere,Remoto,,,,25-34 years old,"Employed, full-time",,5–9 anos,Python,,,
39,France,Pós-graduação/Doutorado,7.0,"Developer, full-stack",HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,MongoDB;PostgreSQL,Amazon Web Services (AWS);Heroku,Remoto,,,,35-44 years old,"Independent contractor, freelancer, or self-employed",,5–9 anos,HTML/CSS,,,
41,Brazil,Graduação,7.0,"Developer, full-stack",HTML/CSS;JavaScript;Ruby;SQL,Elixir;Go;HTML/CSS;Ruby;Rust;SQL,PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Fly.io;Google Cloud;Render,Remoto,,7.0,,25-34 years old,"Employed, full-time",Individual contributor,5–9 anos,HTML/CSS,7.0,,
42,Italy,Mestrado,12.0,Research & Development role,Bash/Shell (all shells);C++;Python,Go,,Amazon Web Services (AWS);Microsoft Azure,Remoto,,7.0,,35-44 years old,"Employed, full-time",Individual contributor,10–19 anos,Bash/Shell (all shells),7.0,,
43,Ireland,Graduação,15.0,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;TypeScript,C;Cobol;Fortran;Go;Zig,MongoDB;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Firebase;Vercel,Remoto,,,,35-44 years old,"Employed, full-time",,10–19 anos,Bash/Shell (all shells),,,
44,Austria,Mestrado,14.0,Academic researcher,Assembly;C#;C++;HTML/CSS;JavaScript;MATLAB;Python;SQL;VBA,Assembly;C#;C++;HTML/CSS;JavaScript;Python;SQL,Microsoft SQL Server,Microsoft Azure,Presencial,,9.0,,35-44 years old,"Employed, full-time;Student, full-time",Individual contributor,10–19 anos,Assembly,9.0,,
45,Romania,Mestrado,7.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Cosmos DB;Elasticsearch;Microsoft SQL Server;MongoDB;Redis,Microsoft Azure,Híbrido,,9.0,,25-34 years old,"Employed, full-time",Individual contributor,5–9 anos,C#,9.0,,
46,United Kingdom of Great Britain and Northern Ireland,Graduação,4.0,,C#;Dart;Fortran;Go;Julia;Python;SQL;VBA,Dart;Go;Python;Rust;SQL,BigQuery;DuckDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud;Heroku;PythonAnywhere,Remoto,,7.0,,25-34 years old,"Employed, full-time;Student, part-time",Individual contributor,2–4 anos,C#,7.0,,
47,United States of America,Mestrado,15.0,"Developer, embedded applications or devices",C;C++,C++,,,Híbrido,,6.0,,35-44 years old,"Employed, full-time",Individual contributor,10–19 anos,C,6.0,,
48,United States of America,Pós-graduação/Doutorado,15.0,System administrator,Crystal;Julia;R;Ruby,Crystal;Julia;R;Ruby,,,Híbrido,,,,45-54 years old,"Employed, part-time",,10–19 anos,Crystal,,,
49,Germany,Faculdade incompleta,45.0,"Developer, desktop or enterprise applications",Delphi;Fortran;SQL,Delphi;SQL,Firebird;Microsoft SQL Server;SQLite,Microsoft Azure,Remoto,,,,65 years or older,"Independent contractor, freelancer, or self-employed",,20+ anos,Delphi,,,
50,Germany,Faculdade incompleta,4.0,"Developer, back-end",Java;JavaScript;SQL,Java;JavaScript;Python,H2;MariaDB;Microsoft SQL Server;MySQL,Amazon Web Services (AWS),Remoto,,3.0,,25-34 years old,"Employed, full-time",Individual contributor,2–4 anos,Java,3.0,,
52,United States of America,Ensino Médio,3.0,"Developer, full-stack",Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript;VBA,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Lua;Rust;SQL;TypeScript,BigQuery;Clickhouse;Cloud Firestore;Cosmos DB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite;Supabase,Cloudflare;Firebase;Google Cloud;Microsoft Azure;Supabase,Híbrido,,,,18-24 years old,"Student, full-time;Employed, part-time",,2–4 anos,Bash/Shell (all shells),,,
53,Germany,Ensino Médio,1.0,"Developer, full-stack",C;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Go;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Cassandra;MySQL;Oracle;PostgreSQL;Supabase,Oracle Cloud Infrastructure (OCI);Supabase,Híbrido,,,,18-24 years old,"Student, part-time;Employed, part-time",,0–1 ano,C,,,
54,Bulgaria,Mestrado,6.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL,C#;JavaScript;SQL,Microsoft SQL Server;Redis,,Presencial,,3.0,,25-34 years old,"Employed, full-time",Individual contributor,5–9 anos,C#,3.0,,
55,United Kingdom of Great Britain and Northern Ireland,Faculdade incompleta,8.0,"Developer, back-end",C++;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;Python;SQL;TypeScript,JavaScript;Lua;PHP;Python;Rust;TypeScript,Cloud Firestore;MariaDB;MySQL;Redis;SQLite,Cloudflare;Google Cloud;Managed Hosting,Híbrido,,7.0,,25-34 years old,"Employed, full-time",Individual contributor,5–9 anos,C++,7.0,,
56,Germany,Pós-graduação/Doutorado,24.0,Other (please specify):,C;Go;Python;SQL,C;Go;OCaml;Python;Rust;SQL;Zig,DuckDB;SQLite,,Presencial,,,,55-64 years old,"Employed, full-time",,20+ anos,C,,,
58,Turkey,Faculdade incompleta,2.0,"Developer, back-end",Python,Python,PostgreSQL;SQLite,,Remoto,,6.0,,25-34 years old,"Employed, full-time",Individual contributor,2–4 anos,Python,6.0,,
60,Ireland,Mestrado,6.0,"Developer, back-end",Bash/Shell (all shells);C#;Java;PowerShell;Python;SQL,Bash/Shell (all shells);C#;Java;JavaScript;Python;SQL,Elasticsearch;H2;Oracle,OpenShift,,,,,25-34 years old,"Not employed, but looking for work",,5–9 anos,Bash/Shell (all shells),,,
61,Nepal,Ensino Médio,,Other (please specify):,Assembly;C++;Go;HTML/CSS;JavaScript;Julia;Lisp;PHP;Prolog;Rust;SQL;TypeScript,Assembly;C++;Go;HTML/CSS;Julia;Lisp;Rust;SQL;Zig,Cloud Firestore;MySQL;PostgreSQL;SQLite,Cloudflare;Firebase,Híbrido,,,,18-24 years old,"Student, full-time;Employed, part-time",,,Assembly,,,
62,Switzerland,Mestrado,29.0,"Developer, back-end",C#;JavaScript;SQL;TypeScript,C#;JavaScript;SQL;TypeScript,Microsoft SQL Server,Microsoft Azure,Híbrido,,7.0,,55-64 years old,"Employed, full-time",Individual contributor,20+ anos,C#,7.0,,
64,Bulgaria,Graduação,5.0,DevOps specialist,PowerShell;Ruby,Go;PowerShell;Ruby;Rust,,VMware,Híbrido,,9.0,,25-34 years old,"Employed, full-time",People manager,5–9 anos,PowerShell,9.0,,
65,Sweden,Graduação,,Engineering manager,Java,Java,PostgreSQL,Google Cloud,Híbrido,,9.0,,45-54 years old,"Employed, full-time",Individual contributor,,Java,9.0,,
68,United Kingdom of Great Britain and Northern Ireland,Mestrado,,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;Dart,Microsoft SQL Server,Microsoft Azure,Híbrido,,,,35-44 years old,"Employed, full-time",,,Bash/Shell (all shells),,,
69,Netherlands,Mestrado,15.0,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Perl;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Perl;PHP;Python;SQL;TypeScript,BigQuery;Cassandra;Cosmos DB;Dynamodb;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,,,,,35-44 years old,"Not employed, but looking for work",,10–19 anos,Bash/Shell (all shells),,,
70,Croatia,Mestrado,8.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Microsoft Azure,Remoto,,9.0,,25-34 years old,"Employed, full-time",Individual contributor,5–9 anos,C#,9.0,,
71,Australia,Faculdade incompleta,,,,,,,,,,,35-44 years old,"Not employed, and not looking for work",,,,,,
72,Sweden,Graduação,30.0,"Developer, full-stack",C#;PowerShell;SQL,C#;JavaScript;PowerShell;SQL;TypeScript,Cosmos DB;Elasticsearch;Microsoft SQL Server;Redis,Microsoft Azure,Híbrido,,7.0,,45-54 years old,"Employed, full-time",Individual contributor,20+ anos,C#,7.0,,
73,Pakistan,Ensino Médio,1.0,Data scientist or machine learning specialist,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,C#;Rust;Scala,MongoDB;MySQL;SQLite,Microsoft Azure;VMware,Híbrido,100 to 499 employees,10.0,7322.0,18-24 years old,"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",People manager,0–1 ano,Assembly,10.0,,< 30k
74,Czech Republic,Pós-graduação/Doutorado,10.0,"Developer, desktop or enterprise applications",C++;Python;R,C++,,PythonAnywhere,Presencial,,9.0,,35-44 years old,"Employed, full-time",Individual contributor,10–19 anos,C++,9.0,,
75,Switzerland,Mestrado,30.0,"Developer, full-stack",Ada;Assembly;Bash/Shell (all shells);C;C++;Clojure;Crystal;Dart;Elixir;Erlang;Fortran;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;OCaml;Perl;PowerShell;Python;R;Rust;Scala;SQL;TypeScript;Zig,Assembly;Bash/Shell (all shells);C++;Clojure;Elixir;Erlang;Fortran;Java;JavaScript;Lua;OCaml;Python;R;Rust;Scala;Zig,DuckDB;InfluxDB;MariaDB;PostgreSQL;SQLite,Cloudflare;Digital Ocean;PythonAnywhere,Híbrido,,7.0,,55-64 years old,"Employed, full-time",Individual contributor,20+ anos,Ada,7.0,,
76,India,Faculdade incompleta,,Designer,HTML/CSS;JavaScript,Dart;Kotlin;Swift,MongoDB,Firebase;Heroku;VMware,,,,,25-34 years old,"Not employed, but looking for work",,,HTML/CSS,,,
77,United States of America,Mestrado,25.0,Database administrator,Groovy;HTML/CSS;Java;JavaScript;Python,Groovy;HTML/CSS;Java;JavaScript;Python,,Amazon Web Services (AWS),Remoto,,6.0,,45-54 years old,"Employed, full-time",Individual contributor,20+ anos,Groovy,6.0,,
78,Republic of North Macedonia,Faculdade incompleta,5.0,"Developer, full-stack",Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);C++;Dart;Python;SQL;TypeScript,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Digital Ocean;Firebase;Google Cloud;VMware,Híbrido,,7.0,,18-24 years old,"Employed, full-time;Student, part-time",Individual contributor,5–9 anos,Bash/Shell (all shells),7.0,,
79,United States of America,Graduação,24.0,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,Bash/Shell (all shells);HTML/CSS;Java;Kotlin;Perl;Python,Elasticsearch;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Remoto,,8.0,,45-54 years old,"Employed, full-time",Individual contributor,20+ anos,Bash/Shell (all shells),8.0,,
80,United States of America,Graduação,26.0,Engineering manager,C#;JavaScript;TypeScript,C#;F#;JavaScript;Rust;TypeScript,,Microsoft Azure,Remoto,,8.0,,45-54 years old,"Employed, full-time",People manager,20+ anos,C#,8.0,,
81,Germany,Mestrado,10.0,"Developer, desktop or enterprise applications",C#;PowerShell;Rust,C;C#;PowerShell,Microsoft SQL Server,,Híbrido,,7.0,,35-44 years old,"Employed, full-time",Individual contributor,10–19 anos,C#,7.0,,
82,Finland,Mestrado,9.0,"Developer, full-stack",Go;HTML/CSS;JavaScript;Python;TypeScript,Go;HTML/CSS;JavaScript;Python;TypeScript,Dynamodb;PostgreSQL;SQLite,Amazon Web Services (AWS),Híbrido,,7.0,,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Individual contributor,5–9 anos,Go,7.0,,
83,Slovakia,Mestrado,20.0,DevOps specialist,C;Python,C;Python,PostgreSQL;SQLite,,Remoto,,4.0,,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Individual contributor,20+ anos,C,4.0,,
84,Poland,Faculdade incompleta,4.0,"Developer, back-end",Bash/Shell (all shells);C;C++;Go;JavaScript;Python,Rust,,,Remoto,,2.0,,25-34 years old,"Employed, full-time",Individual contributor,2–4 anos,Bash/Shell (all shells),2.0,,
85,United States of America,Graduação,12.0,"Developer, desktop or enterprise applications",C#;C++;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;SQL,C#;HTML/CSS;JavaScript;Kotlin;PowerShell;SQL;TypeScript,MySQL;SQLite,,,,,,25-34 years old,"Not employed, but looking for work",,10–19 anos,C#,,,
86,United States of America,Ensino Médio,,Other (please specify):,SQL,Cobol;Fortran;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,,,,,,18-24 years old,"Not employed, and not looking for work",,,SQL,,,
87,United Kingdom of Great Britain and Northern Ireland,Ensino Médio,29.0,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;Go;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Cosmos DB;Microsoft SQL Server;PostgreSQL;Redis,Microsoft Azure,Híbrido,,8.0,,45-54 years old,"Employed, full-time",Individual contributor,20+ anos,Bash/Shell (all shells),8.0,,
88,Germany,Graduação,9.0,"Developer, full-stack",HTML/CSS;Python;Rust,Rust,PostgreSQL;SQLite,,Híbrido,,,,25-34 years old,"Employed, full-time",,5–9 anos,HTML/CSS,,,
89,United Kingdom of Great Britain and Northern Ireland,Mestrado,20.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;VBA;Visual Basic (.Net),C#;SQL;VBA;Visual Basic (.Net),MariaDB;Microsoft Access;Microsoft SQL Server;MySQL,,Híbrido,,,,35-44 years old,"Independent contractor, freelancer, or self-employed",,20+ anos,C#,,,
90,India,Mestrado,,Security professional,C;C++;HTML/CSS;Java;JavaScript;PHP;SQL;Visual Basic (.Net),HTML/CSS;Java;JavaScript;PHP;SQL;Visual Basic (.Net),Elasticsearch;MySQL;Oracle,Managed Hosting;VMware,Presencial,,8.0,,25-34 years old,"Employed, full-time",Individual contributor,,C,8.0,,
93,United States of America,Graduação,37.0,"Senior Executive (C-Suite, VP, etc.)",C;C++;Groovy;HTML/CSS;Java;JavaScript;PHP;Python;SQL,,Dynamodb;Elasticsearch;MariaDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,Híbrido,,4.0,,55-64 years old,"Employed, full-time",People manager,20+ anos,C,4.0,,
94,Ireland,Graduação,4.0,"Developer, full-stack",GDScript;JavaScript;PHP,GDScript;JavaScript;Rust,MySQL,,Híbrido,,6.0,,25-34 years old,"Employed, full-time",Individual contributor,2–4 anos,GDScript,6.0,,
96,Greece,Graduação,2.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;PHP;SQL,C++;HTML/CSS;PHP;SQL,MySQL;SQLite,,Presencial,,3.0,,25-34 years old,"Employed, full-time",Individual contributor,2–4 anos,C#,3.0,,
97,India,Graduação,7.0,"Developer, mobile",Bash/Shell (all shells);C#;JavaScript,,,,Remoto,,7.0,,25-34 years old,"Employed, full-time",Individual contributor,5–9 anos,Bash/Shell (all shells),7.0,,
98,United States of America,Pós-graduação/Doutorado,33.0,"Developer, full-stack",Bash/Shell (all shells);C;C++;Java;Python,,Microsoft SQL Server;MySQL,Amazon Web Services (AWS),Híbrido,,,,55-64 years old,"Employed, full-time",,20+ anos,Bash/Shell (all shells),,,
99,Italy,Ensino Médio,1.0,"Developer, back-end",C#;JavaScript;PowerShell;SQL,C#,MySQL,Microsoft Azure,Híbrido,,8.0,,18-24 years old,"Employed, full-time",Individual contributor,0–1 ano,C#,8.0,,
101,United Kingdom of Great Britain and Northern Ireland,Ensino Médio,11.0,"Developer, back-end",Bash/Shell (all shells);Go;SQL,Bash/Shell (all shells);Dart;Go;Rust;SQL,BigQuery;PostgreSQL,Cloudflare;Google Cloud,Remoto,,2.0,,25-34 years old,"Employed, full-time",Individual contributor,10–19 anos,Bash/Shell (all shells),2.0,,
102,Poland,Mestrado,3.0,"Developer, full-stack",C#;JavaScript;SQL;TypeScript,C#;SQL,Microsoft SQL Server;MySQL;SQLite,,Presencial,,7.0,,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Individual contributor,2–4 anos,C#,7.0,,
103,Italy,Graduação,8.0,"Developer, back-end",Go;PHP;Python;SQL,C++;Rust,Dynamodb;MariaDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Remoto,,8.0,,25-34 years old,"Employed, full-time",Individual contributor,5–9 anos,Go,8.0,,
104,France,Mestrado,15.0,Other (please specify):,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Lua;MATLAB;PowerShell;SQL,Assembly;Bash/Shell (all shells);C;C#;C++;F#;MATLAB;OCaml;PowerShell;Rust;SQL,Microsoft SQL Server,,Híbrido,,,,35-44 years old,"Independent contractor, freelancer, or self-employed",,10–19 anos,Assembly,,,
105,Germany,Faculdade incompleta,24.0,"Developer, back-end",C#;HTML/CSS;Java;JavaScript;PHP;SQL;VBA;Visual Basic (.Net),,Elasticsearch;Microsoft Access;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure;VMware,Híbrido,,,,45-54 years old,"Employed, full-time",,20+ anos,C#,,,
